Product_Name,Product_Categorise,Product_price,Product_Images
Deadpool Ultimate Collector's 1/4 Scale Epic Marvel Action Figure,Figures,$250.00 USD,"['https://giftmania.online/cdn/shop/files/deadpool8.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool7.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool6.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool5.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool4.png?v=1723055250&width=1946']"
Conan and Shinichi Kudo (Detective Conan) Figure PVC,Figures,$125.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_12.png?v=1719414586&width=1946', 'https://giftmania.online/cdn/shop/files/image-removebg-preview_31.png?v=1719414705&width=1946']"
Al Pacino (ScarFace),Figures,$165.00 USD,['https://giftmania.online/cdn/shop/files/CENSOR_11.png?v=1719414228&width=1946']
Al Pacino (ScarFace) Figure,Figures,$165.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_10.png?v=1719414068&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_9.png?v=1719414009&width=1946']"
Gray worm (Game of Thrones) Figure,Figures,$55.00 USD,['https://giftmania.online/cdn/shop/files/CENSOR_7.png?v=1719412274&width=1946']
"Neca (V For Vendetta) ""V""",Figures,$200.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_5.png?v=1719412047&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_6.png?v=1719412077&width=1946']"
Kazama Chikage (hakuouki shinsengumi) PVC mask,Figures,$55.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_2.png?v=1719411331&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_3.png?v=1719411496&width=1946']"
Dark Elf Village First Villager Natigal PVC Figure,Figures,$185.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR.png?v=1719410195&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_1.png?v=1719410275&width=1946']"
Raphael (Teenage Mutant Ninja Turtles) Jumbo Vinyl Figure,Figures,$115.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_26_67c44116-291d-4c5c-a3b1-c8a05ddf34a2.png?v=1718970248&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_27_9b334f26-8762-4e04-b7a9-9037710fd57f.png?v=1718970353&width=1946']"
SDCC (Teenage Mutant Ninja Turtles) Mini Figurines,Figures,$80.00 USD,['https://giftmania.online/cdn/shop/files/ScreenShot2024-06-21at2.39.24PM.png?v=1718969932&width=1946']
Bandai (Baki) Baki Hanma Figure,Figures,$350.00 USD,"['https://giftmania.online/cdn/shop/files/ScreenShot2024-06-21at2.23.40PM.png?v=1718969000&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_25_d3c162a2-18a3-428e-abfc-6f930c9a270c.png?v=1718969274&width=1946']"
Donatello (Teenage Mutant Ninja Turtle) Vinyl figure,Figures,$15.00 USD,['https://giftmania.online/cdn/shop/files/s-l400.jpg?v=1718968633&width=1946']
Ciel Phantomhive (Black Butler) 1/8 scale Figure,Figures,$90.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_23_7c46f29c-a09a-4b40-aae4-86e74a72c909.png?v=1718968260&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_24_9b03f456-bef8-4328-9674-1f252f07ab5e.png?v=1718968512&width=1946']"
Ciel Phantomhive (Black Butler) Figure,Figures,$90.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_22_399ae435-dd7b-4650-ac94-8f14b95950c4.png?v=1718968125&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_21_0cf71688-90c7-4d6e-915b-992495ddd3a4.png?v=1718968067&width=1946']"
Sebastian Michaelis (Black Butler) Figure,Figures,$110.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_20_cdf1c5db-f5de-486d-a9ce-75f7cc14a66e.png?v=1718967837&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_19_0c501bf9-2660-4e76-8b8f-e2dad8987094.png?v=1718967854&width=1946']"
Nadia (The Secret of Blue Water) PVC Figure,Figures,$50.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_17_b7a74870-4604-4474-840b-ab5802568d03.png?v=1718966837&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_18_1ed40be6-9fa9-4551-be2a-2c02878986c5.png?v=1718966904&width=1946']"
Deadpool Ultimate Collector's 1/4 Scale Epic Marvel Action Figure,Figures,$250.00 USD,"['https://giftmania.online/cdn/shop/files/deadpool8.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool7.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool6.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool5.png?v=1723055250&width=1946', 'https://giftmania.online/cdn/shop/files/deadpool4.png?v=1723055250&width=1946']"
Conan and Shinichi Kudo (Detective Conan) Figure PVC,Figures,$125.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_12.png?v=1719414586&width=1946', 'https://giftmania.online/cdn/shop/files/image-removebg-preview_31.png?v=1719414705&width=1946']"
Al Pacino (ScarFace),Figures,$165.00 USD,['https://giftmania.online/cdn/shop/files/CENSOR_11.png?v=1719414228&width=1946']
Al Pacino (ScarFace) Figure,Figures,$165.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_10.png?v=1719414068&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_9.png?v=1719414009&width=1946']"
Gray worm (Game of Thrones) Figure,Figures,$55.00 USD,['https://giftmania.online/cdn/shop/files/CENSOR_7.png?v=1719412274&width=1946']
"Neca (V For Vendetta) ""V""",Figures,$200.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_5.png?v=1719412047&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_6.png?v=1719412077&width=1946']"
Kazama Chikage (hakuouki shinsengumi) PVC mask,Figures,$55.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR_2.png?v=1719411331&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_3.png?v=1719411496&width=1946']"
Dark Elf Village First Villager Natigal PVC Figure,Figures,$185.00 USD,"['https://giftmania.online/cdn/shop/files/CENSOR.png?v=1719410195&width=1946', 'https://giftmania.online/cdn/shop/files/CENSOR_1.png?v=1719410275&width=1946']"
Raphael (Teenage Mutant Ninja Turtles) Jumbo Vinyl Figure,Figures,$115.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_26_67c44116-291d-4c5c-a3b1-c8a05ddf34a2.png?v=1718970248&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_27_9b334f26-8762-4e04-b7a9-9037710fd57f.png?v=1718970353&width=1946']"
SDCC (Teenage Mutant Ninja Turtles) Mini Figurines,Figures,$80.00 USD,['https://giftmania.online/cdn/shop/files/ScreenShot2024-06-21at2.39.24PM.png?v=1718969932&width=1946']
Bandai (Baki) Baki Hanma Figure,Figures,$350.00 USD,"['https://giftmania.online/cdn/shop/files/ScreenShot2024-06-21at2.23.40PM.png?v=1718969000&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_25_d3c162a2-18a3-428e-abfc-6f930c9a270c.png?v=1718969274&width=1946']"
Donatello (Teenage Mutant Ninja Turtle) Vinyl figure,Figures,$15.00 USD,['https://giftmania.online/cdn/shop/files/s-l400.jpg?v=1718968633&width=1946']
Ciel Phantomhive (Black Butler) 1/8 scale Figure,Figures,$90.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_23_7c46f29c-a09a-4b40-aae4-86e74a72c909.png?v=1718968260&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_24_9b03f456-bef8-4328-9674-1f252f07ab5e.png?v=1718968512&width=1946']"
Ciel Phantomhive (Black Butler) Figure,Figures,$90.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_22_399ae435-dd7b-4650-ac94-8f14b95950c4.png?v=1718968125&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_21_0cf71688-90c7-4d6e-915b-992495ddd3a4.png?v=1718968067&width=1946']"
Sebastian Michaelis (Black Butler) Figure,Figures,$110.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_20_cdf1c5db-f5de-486d-a9ce-75f7cc14a66e.png?v=1718967837&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_19_0c501bf9-2660-4e76-8b8f-e2dad8987094.png?v=1718967854&width=1946']"
Nadia (The Secret of Blue Water) PVC Figure,Figures,$50.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_17_b7a74870-4604-4474-840b-ab5802568d03.png?v=1718966837&width=1946', 'https://giftmania.online/cdn/shop/files/Untitleddesign_18_1ed40be6-9fa9-4551-be2a-2c02878986c5.png?v=1718966904&width=1946']"
Suicide Squad (DC) Harley Quinn Cosbaby keychain,Figures,$40.00 USD,"['https://giftmania.online/cdn/shop/files/ScreenShot2024-06-15at1.09.59PM.png?v=1718446157&width=1946', 'https://giftmania.online/cdn/shop/files/ScreenShot2024-06-15at1.07.31PM.png?v=1718446030&width=1946']"
NECA (The Crow) Eric Draven,Figures,$250.00 USD,"['https://giftmania.online/cdn/shop/files/Untitleddesign_10_82c28a8a-c5b0-4e10-92a5-1fe0e8df524b.png?v=1718444077&width=1946', 'https://giftmania.online/cdn/shop/files/ScreenShot2024-06-15at12.34.14PM.png?v=1718444038&width=1946']"
Macfarlane toys (Spawn) The Samurai Warriors,Figures,$255.00 USD,"['https://giftmania.online/cdn/shop/files/H798280_Samurai-Spawn-Deluxe-Box-Set--2-Actionfiguren-Spawn-Archer-in-Box-CHF59.jpg?v=1718198704&width=1946', 'https://giftmania.online/cdn/shop/files/ScreenShot2024-06-12at4.25.22PM.png?v=1718198694&width=1946']"
Macfarlane Toys (The Art Of Spawn) Spawn vs Cygor,Figures,$265.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_55.png?v=1718197649&width=1946', 'https://giftmania.online/cdn/shop/files/ScreenShot2024-06-12at4.05.01PM.png?v=1718197478&width=1946']"
